»ó¼ö´ë¿ª,»ó¼ö,¿øº»·¹º§,songno,diff,°î¸í,³ëÆ®¼ö,maxroll
12,12,10,993,ura,?(×ê),1070,0
12,12,10,1227,ura,23ãÁ54ÝÂ¡¢åÕªÎÕéÖØªØªÎ«×«ì«ê«å?«É(×ê),1423,100
12,12,10,765,ura,ð¯×¿ô¸ØªèÝ(×ê),1582,81
12,12,10,1043,ura,ñó?ªÈõÝ?ªÎü£áÖ(×ê),1170,100
11,11.9,10,1419,ura,vs.VIGVANGS(×ê),1438,100
11,11.9,10,765,oni,ð¯×¿ô¸ØªèÝ,1396,100
11,11.9,10,849,oni,poxei?DOON,1210,96
11,11.9,10,1350,oni,CRUXNAUT,1405,100
11,11.9,10,120,oni,«É«ó«««Þ2000,765,0
11,11.9,10,1172,oni,Destination 2F29,995,96
11,11.8,10,1470,oni,Rough: CHA0Z,987,100
11,11.8,10,336,oni,Infinite Rebellion,1304,100
11,11.8,10,1369,oni,«À?«¯?«¨«¯«¹?«Þ«­«Ê¢½,1333,100
11,11.8,10,1129,ura,ãê? ¢¦Shinryu¢¦(×ê),1365,56
11,11.8,10,954,ura,Central Dogma Pt.1(×ê),1259,100
11,11.8,10,960,ura,Vixtory(×ê),1240,100
11,11.7,10,463,oni,êëúÜ«Î?,1262,73
11,11.7,10,721,ura,«À«ó«¬«ó«Î?«Ä(×ê),1167,30
11,11.7,10,1072,ura,The Future of the ÷¼ÍÕ«É«é«à(×ê),1400,100
11,11.7,10,1196,ura,«é?«â«ì?«Ê?«¯«â«Ê«¤(×ê),1119,100
11,11.7,10,1278,oni,¢Ó¢Ó¢Ó«««ª«¹«¿«¤«à the DARK¢Ó¢Ó¢Ó,1000,100
11,11.6,10,1367,oni,«È«íª¤ª«2000,872,0
11,11.6,10,1048,ura,«¢«ó«ê«ß«Æ«Ã«É«²?«à«º(×ê),1210,100
11,11.6,10,1032,ura,Emma(×ê),1074,100
11,11.6,10,1216,ura,CUT! into the FUTURE(×ê),1338,100
11,11.6,10,1040,oni,?Øå??,1085,100
11,11.6,10,1392,ura,RAGING FIRE(×ê),1022,0
11,11.5,10,1122,ura,ÎÊÕ³ÒÁÔ¦(×ê),1108,100
11,11.5,10,834,ura,òðù¦ÒÁÔ¦(×ê),1083,100
11,11.5,10,1042,ura,Ê¾? ¢¦Kokuryu¢¦(×ê),1172,0
11,11.5,10,1080,ura,åö -à¼ªÊªëãêªÈª³ªÎá¦ªÎ?ªËªÄª¤ªÆ-(×ê),1195,100
11,11.5,10,1319,ura,«ª«Ú«ì?«È?«ß?(×ê),1337,100
11,11.5,10,627,oni,ªÞªÀªµª¤ª¿ªÞ2000,999,37
11,11.4,10,393,oni,??«Î?,970,0
11,11.4,10,518,oni,!!!«««ª«¹«¿«¤«à!!!,987,100
11,11.4,10,1406,oni,siren's eye,997,94
11,11.4,10,1276,ura,ªÈª±ªë(×ê),982,60
11,11.4,10,1120,ura,ª½ª·ªÆé¸íºªÏØùªêªËªÄª¯(×ê),1316,100
11,11.4,10,1249,ura,õÌÍýªÎØªÛöÞÅª¤(×ê),1167,100
11,11.3,10,1370,ura,Extreme End(×ê),1123,0
11,11.3,10,856,ura,Calamity Fortune(×ê),1217,49
11,11.3,10,1145,ura,L¥Ächesis(×ê),1024,91
11,11.3,10,401,oni,«¹?«Ï?2000,668,79
11,11.3,10,868,ura,«â«Î«¯«í«Ü«¤«¹(×ê),1305,0
11,11.3,10,555,oni,¡ÁMM,1290,29
11,11.3,10,503,oni,«Á«ã?«ê? «À«Ã«·«å£¡,858,100
11,11.2,10,1329,ura,Synthesis.(×ê),999,100
